PROVINCE,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region I - Ilocos Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ISABELA CITY, (BASILAN)  (a)", 10 , 3 , 7 , 1 , 10 , 3 , 3 , 3 , 9 , 14 , 7 , 9 , 5 , 3 , 11 , 3 , 10 , 19 , 12 , 14 , 9 , 13 , 12 , 2 , 3 , 12 , 7 , 5 , 6 , 9 , 8 , 15 , 3 
Sub-Total Zamboanga Peninsula, 214 , 185 , 250 , 259 , 322 , 385 , 424 , 270 , 385 , 377 , 251 , 316 , 379 , 380 , 540 , 509 , 585 , 626 ," 1,022 ", 805 , 685 , 789 , 677 , 875 , 956 , 817 , 822 , 988 , 967 , 838 , 879 , 787 , 199 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region X - Northern Mindanao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUKIDNON, 43 , 44 , 44 , 45 , 57 , 94 , 93 , 71 , 89 , 78 , 58 , 70 , 86 , 71 , 117 , 141 , 138 , 151 , 297 , 253 , 227 , 212 , 211 , 245 , 282 , 287 , 266 , 340 , 362 , 336 , 347 , 354 , 66 
CAMIGUIN, 14 , 11 , 16 , 12 , 22 , 22 , 17 , 17 , 12 , 30 , 12 , 35 , 23 , 23 , 29 , 20 , 24 , 25 , 32 , 24 , 29 , 24 , 27 , 25 , 28 , 29 , 38 , 30 , 31 , 32 , 32 , 43 , 17 
LANAO DEL NORTE, 75 , 69 , 82 , 127 , 112 , 167 , 154 , 170 , 158 , 179 , 128 , 146 , 254 , 249 , 232 , 275 , 338 , 367 , 493 , 358 , 309 , 338 , 290 , 354 , 372 , 339 , 357 , 411 , 430 , 371 , 341 , 390 , 79 
MISAMIS OCCIDENTAL, 93 , 84 , 116 , 121 , 150 , 136 , 139 , 118 , 142 , 117 , 67 , 88 , 121 , 142 , 154 , 190 , 225 , 271 , 328 , 308 , 277 , 276 , 310 , 286 , 358 , 320 , 261 , 278 , 320 , 304 , 255 , 300 , 45 
MISAMIS ORIENTAL, 197 , 181 , 221 , 281 , 282 , 373 , 362 , 281 , 338 , 350 , 318 , 344 , 424 , 399 , 621 , 520 , 789 , 733 ," 1,110 "," 1,025 ", 796 , 958 , 897 , 907 ," 1,022 ", 910 , 943 ," 1,111 "," 1,118 "," 1,002 "," 1,013 ", 862 , 207 
Sub-Total Northern Mindanao, 422 , 389 , 479 , 586 , 623 , 792 , 765 , 657 , 739 , 754 , 583 , 683 , 908 , 884 ," 1,153 "," 1,146 "," 1,514 "," 1,547 "," 2,260 "," 1,968 "," 1,638 "," 1,808 "," 1,735 "," 1,817 "," 2,062 "," 1,885 "," 1,865 "," 2,170 "," 2,261 "," 2,045 "," 1,988 "," 1,949 ", 414 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region XI - Davao Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPOSTELA VALLEY, 8 , 21 , 21 , 21 , 31 , 25 , 37 , 22 , 27 , 13 , 25 , 30 , 36 , 33 , 38 , 91 , 69 , 89 , 96 , 92 , 72 , 83 , 99 , 119 , 113 , 122 , 119 , 152 , 173 , 133 , 125 , 159 , 29 
DAVAO DEL NORTE, 43 , 41 , 42 , 59 , 47 , 89 , 87 , 70 , 75 , 92 , 80 , 117 , 202 , 173 , 187 , 226 , 278 , 326 , 405 , 401 , 392 , 357 , 356 , 391 , 456 , 435 , 438 , 543 , 611 , 542 , 497 , 518 , 151 
